page_url,index_in_page,type,arabic_text
https://bilgiocakta.com/kuran/index.html,1,harf,ا
https://bilgiocakta.com/kuran/index.html,2,harf,ت
https://bilgiocakta.com/kuran/index.html,3,harf,ث
https://bilgiocakta.com/kuran/index.html,4,harf,ج
https://bilgiocakta.com/kuran/index.html,5,harf,ح
https://bilgiocakta.com/kuran/index.html,6,harf,خ
https://bilgiocakta.com/kuran/index.html,7,harf,د
https://bilgiocakta.com/kuran/index.html,8,harf,ذ
https://bilgiocakta.com/kuran/index.html,9,harf,ر
https://bilgiocakta.com/kuran/index.html,10,harf,ز
https://bilgiocakta.com/kuran/index.html,11,harf,س
https://bilgiocakta.com/kuran/index.html,12,harf,ش
https://bilgiocakta.com/kuran/index.html,13,harf,ص
https://bilgiocakta.com/kuran/index.html,14,harf,ض
https://bilgiocakta.com/kuran/index.html,15,harf,ط
https://bilgiocakta.com/kuran/index.html,16,harf,ظ
https://bilgiocakta.com/kuran/index.html,17,harf,ع
https://bilgiocakta.com/kuran/index.html,18,harf,غ
https://bilgiocakta.com/kuran/index.html,19,harf,ف
https://bilgiocakta.com/kuran/index.html,20,harf,ق
https://bilgiocakta.com/kuran/index.html,21,harf,ك
https://bilgiocakta.com/kuran/index.html,22,harf,ل
https://bilgiocakta.com/kuran/index.html,23,harf,م
https://bilgiocakta.com/kuran/index.html,24,harf,ن
https://bilgiocakta.com/kuran/index.html,25,harf,و
https://bilgiocakta.com/kuran/index.html,26,harf,ه
https://bilgiocakta.com/kuran/index.html,27,harf,ى
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,1,harf,ا
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,2,kelime,بـ
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,3,kelime,ـبـ
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,4,kelime,ـب
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,5,harf,ت
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,6,kelime,تـ
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,7,kelime,ـتـ
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,8,kelime,ـت
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,9,kelime,ثـ
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,10,kelime,ـثـ
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,11,kelime,ـث
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,12,harf,ج
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,13,kelime,جـ
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,14,kelime,ـجـ
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,15,kelime,ـج
https://bilgiocakta.com/kuran/HarflerinDurumlari.html,16,harf,ح
